TITLE SAMPLE NAME:,PP_ZEPTO_LID
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.959
LASTX:,599.82981
LASTY:,97.976
NPOINTS:,1681
2833.88981,98.133
2831.84958,98.214
2829.80934,98.301
2827.7691,98.359
2825.72886,98.408
2823.68863,98.466
2821.64839,98.518
2819.60815,98.543
2817.56791,98.551
2815.52768,98.571
2813.48744,98.598
2811.4472,98.606
2809.40696,98.599
2807.36673,98.592
2805.32649,98.592
2803.28625,98.6
2801.24601,98.625
2799.20578,98.657
2797.16554,98.677
2795.1253,98.687
2793.08506,98.694
2791.04483,98.696
2789.00459,98.705
2786.96435,98.723
2784.92411,98.732
2782.88388,98.74
2780.84364,98.751
2778.8034,98.756
2776.76316,98.766
2774.72293,98.775
2772.68269,98.764
2770.64245,98.75
2768.60221,98.756
2766.56198,98.768
2764.52174,98.753
2762.4815,98.733
2760.44126,98.741
2758.40103,98.754
2756.36079,98.759
2754.32055,98.771
2752.28032,98.78
2750.24008,98.78
2748.19984,98.79
2746.1596,98.803
2744.11937,98.8
2742.07913,98.789
2740.03889,98.781
2737.99865,98.771
2735.95842,98.752
2733.91818,98.738
2731.87794,98.746
2729.8377,98.757
2727.79747,98.76
2725.75723,98.757
2723.71699,98.744
2721.67675,98.739
2719.63652,98.76
2717.59628,98.781
2715.55604,98.776
2713.5158,98.756
2711.47557,98.756
2709.43533,98.782
2707.39509,98.809
2705.35485,98.815
2703.31462,98.799
2701.27438,98.785
2699.23414,98.786
2697.1939,98.794
2695.15367,98.799
2693.11343,98.796
2691.07319,98.8
2689.03295,98.81
2686.99272,98.809
2684.95248,98.799
2682.91224,98.793
2680.872,98.802
2678.83177,98.819
2676.79153,98.821
2674.75129,98.821
2672.71105,98.821
2670.67082,98.806
2668.63058,98.794
2666.59034,98.797
2664.5501,98.799
2662.50987,98.796
2660.46963,98.791
2658.42939,98.782
2656.38916,98.78
2654.34892,98.784
2652.30868,98.789
2650.26844,98.798
2648.22821,98.803
2646.18797,98.803
2644.14773,98.804
2642.10749,98.808
2640.06726,98.819
2638.02702,98.834
2635.98678,98.845
2633.94654,98.851
2631.90631,98.851
2629.86607,98.847
2627.82583,98.844
2625.78559,98.844
2623.74536,98.837
2621.70512,98.819
2619.66488,98.803
2617.62464,98.801
2615.58441,98.814
2613.54417,98.831
2611.50393,98.824
2609.46369,98.797
2607.42346,98.79
2605.38322,98.81
2603.34298,98.815
2601.30274,98.805
2599.26251,98.81
2597.22227,98.817
2595.18203,98.82
2593.14179,98.834
2591.10156,98.856
2589.06132,98.857
2587.02108,98.85
2584.98084,98.853
2582.94061,98.849
2580.90037,98.835
2578.86013,98.822
2576.81989,98.821
2574.77966,98.835
2572.73942,98.835
2570.69918,98.818
2568.65894,98.824
2566.61871,98.848
2564.57847,98.853
2562.53823,98.837
2560.498,98.825
2558.45776,98.831
2556.41752,98.846
2554.37728,98.855
2552.33705,98.854
2550.29681,98.85
2548.25657,98.848
2546.21633,98.845
2544.1761,98.841
2542.13586,98.836
2540.09562,98.841
2538.05538,98.864
2536.01515,98.883
2533.97491,98.879
2531.93467,98.863
2529.89443,98.852
2527.8542,98.847
2525.81396,98.837
2523.77372,98.823
2521.73348,98.826
2519.69325,98.837
2517.65301,98.839
2515.61277,98.835
2513.57253,98.835
2511.5323,98.833
2509.49206,98.831
2507.45182,98.829
2505.41158,98.83
2503.37135,98.847
2501.33111,98.863
2499.29087,98.859
2497.25063,98.84
2495.2104,98.823
2493.17016,98.819
2491.12992,98.829
2489.08968,98.838
2487.04945,98.832
2485.00921,98.829
2482.96897,98.834
2480.92873,98.835
2478.8885,98.834
2476.84826,98.841
2474.80802,98.859
2472.76778,98.877
2470.72755,98.877
2468.68731,98.86
2466.64707,98.838
2464.60684,98.817
2462.5666,98.804
2460.52636,98.804
2458.48612,98.815
2456.44589,98.824
2454.40565,98.831
2452.36541,98.842
2450.32517,98.845
2448.28494,98.839
2446.2447,98.834
2444.20446,98.839
2442.16422,98.853
2440.12399,98.858
2438.08375,98.853
2436.04351,98.85
2434.00327,98.841
2431.96304,98.824
2429.9228,98.82
2427.88256,98.827
2425.84232,98.829
2423.80209,98.824
2421.76185,98.832
2419.72161,98.85
2417.68137,98.85
2415.64114,98.84
2413.6009,98.843
2411.56066,98.84
2409.52042,98.822
2407.48019,98.819
2405.43995,98.829
2403.39971,98.83
2401.35947,98.814
2399.31924,98.796
2397.279,98.797
2395.23876,98.811
2393.19852,98.818
2391.15829,98.818
2389.11805,98.826
2387.07781,98.834
2385.03757,98.823
2382.99734,98.805
2380.9571,98.796
2378.91686,98.792
2376.87662,98.789
2374.83639,98.791
2372.79615,98.799
2370.75591,98.811
2368.71568,98.821
2366.67544,98.839
2364.6352,98.876
2362.59496,98.913
2360.55473,98.93
2358.51449,98.919
2356.47425,98.885
2354.43401,98.847
2352.39378,98.829
2350.35354,98.838
2348.3133,98.878
2346.27306,98.934
2344.23283,98.963
2342.19259,98.946
2340.15235,98.925
2338.11211,98.92
2336.07188,98.903
2334.03164,98.876
2331.9914,98.861
2329.95116,98.841
2327.91093,98.805
2325.87069,98.774
2323.83045,98.76
2321.79021,98.756
2319.74998,98.752
2317.70974,98.748
2315.6695,98.751
2313.62926,98.758
2311.58903,98.764
2309.54879,98.768
2307.50855,98.767
2305.46831,98.763
2303.42808,98.758
2301.38784,98.758
2299.3476,98.759
2297.30736,98.762
