TITLE SAMPLE NAME:,PP_GREEN_LID_UPMA
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.587
LASTX:,599.82981
LASTY:,94.138
NPOINTS:,1681
2837.97029,93.474
2835.93005,93.515
2833.88981,93.787
2831.84958,94.208
2829.80934,94.629
2827.7691,94.969
2825.72886,95.238
2823.68863,95.450
2821.64839,95.602
2819.60815,95.697
2817.56791,95.757
2815.52768,95.826
2813.48744,95.919
2811.4472,95.996
2809.40696,96.040
2807.36673,96.070
2805.32649,96.101
2803.28625,96.142
2801.24601,96.196
2799.20578,96.246
2797.16554,96.280
2795.1253,96.311
2793.08506,96.340
2791.04483,96.360
2789.00459,96.385
2786.96435,96.418
2784.92411,96.447
2782.88388,96.478
2780.84364,96.516
2778.8034,96.549
2776.76316,96.573
2774.72293,96.581
2772.68269,96.574
2770.64245,96.562
2768.60221,96.563
2766.56198,96.578
2764.52174,96.587
2762.4815,96.592
2760.44126,96.612
2758.40103,96.641
2756.36079,96.660
2754.32055,96.671
2752.28032,96.686
2750.24008,96.710
2748.19984,96.736
2746.1596,96.747
2744.11937,96.743
2742.07913,96.736
2740.03889,96.727
2737.99865,96.707
2735.95842,96.681
2733.91818,96.660
2731.87794,96.659
2729.8377,96.675
2727.79747,96.679
2725.75723,96.664
2723.71699,96.644
2721.67675,96.641
2719.63652,96.666
2717.59628,96.693
2715.55604,96.697
2713.5158,96.687
2711.47557,96.695
2709.43533,96.715
2707.39509,96.732
2705.35485,96.745
2703.31462,96.755
2701.27438,96.763
2699.23414,96.767
2697.1939,96.769
2695.15367,96.783
2693.11343,96.795
2691.07319,96.796
2689.03295,96.794
2686.99272,96.788
2684.95248,96.788
2682.91224,96.796
2680.872,96.802
2678.83177,96.800
2676.79153,96.789
2674.75129,96.790
2672.71105,96.802
2670.67082,96.810
2668.63058,96.823
2666.59034,96.829
2664.5501,96.816
2662.50987,96.809
2660.46963,96.817
2658.42939,96.827
2656.38916,96.831
2654.34892,96.837
2652.30868,96.850
2650.26844,96.861
2648.22821,96.853
2646.18797,96.842
2644.14773,96.840
2642.10749,96.848
2640.06726,96.859
2638.02702,96.859
2635.98678,96.855
2633.94654,96.857
2631.90631,96.863
2629.86607,96.873
2627.82583,96.882
2625.78559,96.876
2623.74536,96.856
2621.70512,96.846
2619.66488,96.855
2617.62464,96.861
2615.58441,96.865
2613.54417,96.875
2611.50393,96.877
2609.46369,96.875
2607.42346,96.880
2605.38322,96.893
2603.34298,96.893
2601.30274,96.876
2599.26251,96.862
2597.22227,96.859
2595.18203,96.871
2593.14179,96.899
2591.10156,96.921
2589.06132,96.914
2587.02108,96.896
2584.98084,96.894
2582.94061,96.902
2580.90037,96.900
2578.86013,96.883
2576.81989,96.871
2574.77966,96.878
2572.73942,96.897
2570.69918,96.907
2568.65894,96.910
2566.61871,96.921
2564.57847,96.937
2562.53823,96.941
2560.498,96.929
2558.45776,96.920
2556.41752,96.923
2554.37728,96.927
2552.33705,96.926
2550.29681,96.914
2548.25657,96.910
2546.21633,96.922
2544.1761,96.929
2542.13586,96.928
2540.09562,96.927
2538.05538,96.934
2536.01515,96.950
2533.97491,96.955
2531.93467,96.944
2529.89443,96.945
2527.8542,96.958
2525.81396,96.948
2523.77372,96.929
2521.73348,96.928
2519.69325,96.935
2517.65301,96.946
2515.61277,96.966
2513.57253,96.971
2511.5323,96.956
2509.49206,96.949
2507.45182,96.957
2505.41158,96.972
2503.37135,96.987
2501.33111,96.987
2499.29087,96.982
2497.25063,96.977
2495.2104,96.961
2493.17016,96.946
2491.12992,96.951
2489.08968,96.954
2487.04945,96.936
2485.00921,96.931
2482.96897,96.948
2480.92873,96.955
2478.8885,96.948
2476.84826,96.951
2474.80802,96.974
2472.76778,96.992
2470.72755,96.996
2468.68731,96.994
2466.64707,96.982
2464.60684,96.966
2462.5666,96.964
2460.52636,96.976
2458.48612,96.980
2456.44589,96.979
2454.40565,96.984
2452.36541,96.984
2450.32517,96.972
2448.28494,96.958
2446.2447,96.957
2444.20446,96.962
2442.16422,96.961
2440.12399,96.959
2438.08375,96.960
2436.04351,96.965
2434.00327,96.971
2431.96304,96.974
2429.9228,96.979
2427.88256,96.985
2425.84232,96.980
2423.80209,96.958
2421.76185,96.943
2419.72161,96.950
2417.68137,96.957
2415.64114,96.949
2413.6009,96.937
2411.56066,96.932
2409.52042,96.932
2407.48019,96.937
2405.43995,96.946
2403.39971,96.958
2401.35947,96.962
2399.31924,96.950
2397.279,96.941
2395.23876,96.943
2393.19852,96.950
2391.15829,96.960
2389.11805,96.972
2387.07781,96.976
2385.03757,96.966
2382.99734,96.952
2380.9571,96.945
2378.91686,96.944
2376.87662,96.944
2374.83639,96.952
2372.79615,96.965
2370.75591,96.982
2368.71568,96.997
2366.67544,97.010
2364.6352,97.028
2362.59496,97.040
2360.55473,97.025
2358.51449,96.998
2356.47425,96.972
2354.43401,96.937
2352.39378,96.914
2350.35354,96.934
2348.3133,96.989
2346.27306,97.046
2344.23283,97.074
2342.19259,97.062
2340.15235,97.033
2338.11211,97.017
2336.07188,97.022
2334.03164,97.030
2331.9914,97.020
2329.95116,96.986
2327.91093,96.947
2325.87069,96.916
2323.83045,96.889
2321.79021,96.871
2319.74998,96.867
2317.70974,96.881
2315.6695,96.912
2313.62926,96.943
2311.58903,96.955
2309.54879,96.944
2307.50855,96.925
2305.46831,96.910
2303.42808,96.900
