TITLE SAMPLE NAME:,PET_ZEPTO_BOTTLE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99
LASTX:,599.82981
LASTY:,99.064
NPOINTS:,1681
2835.93005,99.159
2833.88981,99.152
2831.84958,99.144
2829.80934,99.129
2827.7691,99.114
2825.72886,99.097
2823.68863,99.074
2821.64839,99.073
2819.60815,99.105
2817.56791,99.137
2815.52768,99.144
2813.48744,99.132
2811.4472,99.121
2809.40696,99.127
2807.36673,99.136
2805.32649,99.129
2803.28625,99.117
2801.24601,99.111
2799.20578,99.119
2797.16554,99.136
2795.1253,99.144
2793.08506,99.135
2791.04483,99.118
2789.00459,99.106
2786.96435,99.106
2784.92411,99.117
2782.88388,99.126
2780.84364,99.135
2778.8034,99.14
2776.76316,99.131
2774.72293,99.127
2772.68269,99.123
2770.64245,99.113
2768.60221,99.126
2766.56198,99.151
2764.52174,99.151
2762.4815,99.142
2760.44126,99.153
2758.40103,99.169
2756.36079,99.172
2754.32055,99.167
2752.28032,99.154
2750.24008,99.146
2748.19984,99.145
2746.1596,99.142
2744.11937,99.143
2742.07913,99.142
2740.03889,99.126
2737.99865,99.107
2735.95842,99.116
2733.91818,99.147
2731.87794,99.168
2729.8377,99.168
2727.79747,99.154
2725.75723,99.138
2723.71699,99.144
2721.67675,99.17
2719.63652,99.174
2717.59628,99.135
2715.55604,99.084
2713.5158,99.071
2711.47557,99.1
2709.43533,99.125
2707.39509,99.125
2705.35485,99.124
2703.31462,99.135
2701.27438,99.148
2699.23414,99.15
2697.1939,99.146
2695.15367,99.148
2693.11343,99.153
2691.07319,99.144
2689.03295,99.142
2686.99272,99.147
2684.95248,99.134
2682.91224,99.118
2680.872,99.117
2678.83177,99.129
2676.79153,99.143
2674.75129,99.158
2672.71105,99.162
2670.67082,99.139
2668.63058,99.121
2666.59034,99.129
2664.5501,99.137
2662.50987,99.133
2660.46963,99.127
2658.42939,99.125
2656.38916,99.126
2654.34892,99.122
2652.30868,99.118
2650.26844,99.124
2648.22821,99.131
2646.18797,99.138
2644.14773,99.154
2642.10749,99.158
2640.06726,99.142
2638.02702,99.123
2635.98678,99.112
2633.94654,99.125
2631.90631,99.153
2629.86607,99.165
2627.82583,99.157
2625.78559,99.135
2623.74536,99.112
2621.70512,99.111
2619.66488,99.129
2617.62464,99.136
2615.58441,99.128
2613.54417,99.123
2611.50393,99.123
2609.46369,99.119
2607.42346,99.119
2605.38322,99.123
2603.34298,99.124
2601.30274,99.131
2599.26251,99.141
2597.22227,99.137
2595.18203,99.136
2593.14179,99.137
2591.10156,99.126
2589.06132,99.122
2587.02108,99.127
2584.98084,99.127
2582.94061,99.131
2580.90037,99.144
2578.86013,99.153
2576.81989,99.15
2574.77966,99.132
2572.73942,99.109
2570.69918,99.105
2568.65894,99.118
2566.61871,99.125
2564.57847,99.121
2562.53823,99.118
2560.498,99.118
2558.45776,99.118
2556.41752,99.121
2554.37728,99.119
2552.33705,99.114
2550.29681,99.114
2548.25657,99.117
2546.21633,99.117
2544.1761,99.116
2542.13586,99.132
2540.09562,99.144
2538.05538,99.131
2536.01515,99.104
2533.97491,99.087
2531.93467,99.095
2529.89443,99.111
2527.8542,99.115
2525.81396,99.113
2523.77372,99.115
2521.73348,99.12
2519.69325,99.131
2517.65301,99.14
2515.61277,99.138
2513.57253,99.133
2511.5323,99.133
2509.49206,99.125
2507.45182,99.118
2505.41158,99.12
2503.37135,99.116
2501.33111,99.113
2499.29087,99.117
2497.25063,99.118
2495.2104,99.12
2493.17016,99.129
2491.12992,99.136
2489.08968,99.136
2487.04945,99.138
2485.00921,99.144
2482.96897,99.146
2480.92873,99.141
2478.8885,99.132
2476.84826,99.125
2474.80802,99.123
2472.76778,99.129
2470.72755,99.133
2468.68731,99.131
2466.64707,99.125
2464.60684,99.109
2462.5666,99.096
2460.52636,99.101
2458.48612,99.12
2456.44589,99.13
2454.40565,99.123
2452.36541,99.123
2450.32517,99.127
2448.28494,99.119
2446.2447,99.113
2444.20446,99.116
2442.16422,99.122
2440.12399,99.139
2438.08375,99.156
2436.04351,99.156
2434.00327,99.145
2431.96304,99.132
2429.9228,99.121
2427.88256,99.116
2425.84232,99.12
2423.80209,99.135
2421.76185,99.14
2419.72161,99.128
2417.68137,99.116
2415.64114,99.113
2413.6009,99.121
2411.56066,99.134
2409.52042,99.139
2407.48019,99.129
2405.43995,99.111
2403.39971,99.103
2401.35947,99.109
2399.31924,99.115
2397.279,99.115
2395.23876,99.108
2393.19852,99.092
2391.15829,99.074
2389.11805,99.073
2387.07781,99.087
2385.03757,99.097
2382.99734,99.091
2380.9571,99.074
2378.91686,99.056
2376.87662,99.045
2374.83639,99.058
2372.79615,99.087
2370.75591,99.109
2368.71568,99.132
2366.67544,99.17
2364.6352,99.216
2362.59496,99.259
2360.55473,99.272
2358.51449,99.224
2356.47425,99.139
2354.43401,99.115
2352.39378,99.193
2350.35354,99.281
2348.3133,99.265
2346.27306,99.159
2344.23283,99.098
2342.19259,99.149
2340.15235,99.232
2338.11211,99.27
2336.07188,99.262
2334.03164,99.222
2331.9914,99.166
2329.95116,99.128
2327.91093,99.126
2325.87069,99.143
2323.83045,99.143
2321.79021,99.099
2319.74998,99.045
2317.70974,99.025
2315.6695,99.03
2313.62926,99.026
2311.58903,99.012
2309.54879,99.005
2307.50855,99.011
2305.46831,99.028
2303.42808,99.04
2301.38784,99.041
