TITLE SAMPLE NAME:,PET_PAPERBOAT
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.149
LASTX:,599.82981
LASTY:,99.324
NPOINTS:,1681
3117.48282,99.392
3115.44258,99.374
3113.40234,99.377
3111.36211,99.402
3109.32187,99.418
3107.28163,99.402
3105.24139,99.379
3103.20116,99.372
3101.16092,99.381
3099.12068,99.393
3097.08044,99.383
3095.04021,99.385
3092.99997,99.409
3090.95973,99.414
3088.91949,99.41
3086.87926,99.404
3084.83902,99.382
3082.79878,99.36
3080.75854,99.355
3078.71831,99.365
3076.67807,99.38
3074.63783,99.384
3072.59759,99.381
3070.55736,99.373
3068.51712,99.351
3066.47688,99.332
3064.43664,99.335
3062.39641,99.346
3060.35617,99.342
3058.31593,99.332
3056.27569,99.35
3054.23546,99.384
3052.19522,99.382
3050.15498,99.355
3048.11474,99.338
3046.07451,99.328
3044.03427,99.313
3041.99403,99.318
3039.95379,99.343
3037.91356,99.348
3035.87332,99.332
3033.83308,99.319
3031.79285,99.306
3029.75261,99.309
3027.71237,99.324
3025.67213,99.318
3023.6319,99.297
3021.59166,99.282
3019.55142,99.268
3017.51118,99.256
3015.47095,99.258
3013.43071,99.259
3011.39047,99.257
3009.35023,99.279
3007.31,99.302
3005.26976,99.291
3003.22952,99.269
3001.18928,99.247
2999.14905,99.223
2997.10881,99.219
2995.06857,99.223
2993.02833,99.216
2990.9881,99.214
2988.94786,99.228
2986.90762,99.242
2984.86738,99.244
2982.82715,99.232
2980.78691,99.209
2978.74667,99.188
2976.70643,99.164
2974.6662,99.134
2972.62596,99.119
2970.58572,99.118
2968.54548,99.111
2966.50525,99.091
2964.46501,99.074
2962.42477,99.064
2960.38453,99.058
2958.3443,99.068
2956.30406,99.093
2954.26382,99.113
2952.22358,99.124
2950.18335,99.123
2948.14311,99.11
2946.10287,99.101
2944.06264,99.098
2942.0224,99.088
2939.98216,99.089
2937.94192,99.11
2935.90169,99.11
2933.86145,99.08
2931.82121,99.066
2929.78097,99.071
2927.74074,99.073
2925.7005,99.069
2923.66026,99.055
2921.62002,99.046
2919.57979,99.074
2917.53955,99.122
2915.49931,99.166
2913.45907,99.205
2911.41884,99.209
2909.3786,99.173
2907.33836,99.156
2905.29812,99.179
2903.25789,99.19
2901.21765,99.186
2899.17741,99.211
2897.13717,99.247
2895.09694,99.263
2893.0567,99.27
2891.01646,99.28
2888.97622,99.285
2886.93599,99.282
2884.89575,99.295
2882.85551,99.317
2880.81527,99.315
2878.77504,99.292
2876.7348,99.268
2874.69456,99.25
2872.65432,99.243
2870.61409,99.248
2868.57385,99.255
2866.53361,99.268
2864.49337,99.289
2862.45314,99.304
2860.4129,99.299
2858.37266,99.285
2856.33242,99.263
2854.29219,99.233
2852.25195,99.213
2850.21171,99.229
2848.17148,99.274
2846.13124,99.299
2844.091,99.295
2842.05076,99.299
2840.01053,99.324
2837.97029,99.348
2835.93005,99.343
