TITLE SAMPLE NAME:,HDPE_NO_SOAP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.45
LASTX:,599.82981
LASTY:,98.269
NPOINTS:,1681
2835.93005,96.431
2833.88981,96.61
2831.84958,96.774
2829.80934,96.925
2827.7691,97.047
2825.72886,97.146
2823.68863,97.228
2821.64839,97.307
2819.60815,97.389
2817.56791,97.459
2815.52768,97.511
2813.48744,97.558
2811.4472,97.605
2809.40696,97.64
2807.36673,97.662
2805.32649,97.685
2803.28625,97.705
2801.24601,97.715
2799.20578,97.734
2797.16554,97.775
2795.1253,97.813
2793.08506,97.831
2791.04483,97.836
2789.00459,97.845
2786.96435,97.86
2784.92411,97.879
2782.88388,97.894
2780.84364,97.907
2778.8034,97.917
2776.76316,97.918
2774.72293,97.933
2772.68269,97.95
2770.64245,97.941
2768.60221,97.944
2766.56198,97.976
2764.52174,98.001
2762.4815,98.007
2760.44126,98.014
2758.40103,98.034
2756.36079,98.057
2754.32055,98.068
2752.28032,98.061
2750.24008,98.058
2748.19984,98.064
2746.1596,98.063
2744.11937,98.066
2742.07913,98.077
2740.03889,98.078
2737.99865,98.077
2735.95842,98.088
2733.91818,98.107
2731.87794,98.122
2729.8377,98.121
2727.79747,98.094
2725.75723,98.081
2723.71699,98.108
2721.67675,98.14
2719.63652,98.148
2717.59628,98.132
2715.55604,98.103
2713.5158,98.082
2711.47557,98.086
2709.43533,98.112
2707.39509,98.136
2705.35485,98.143
2703.31462,98.137
2701.27438,98.129
2699.23414,98.135
2697.1939,98.157
2695.15367,98.173
2693.11343,98.172
2691.07319,98.169
2689.03295,98.172
2686.99272,98.17
2684.95248,98.157
2682.91224,98.151
2680.872,98.154
2678.83177,98.151
2676.79153,98.155
2674.75129,98.171
2672.71105,98.17
2670.67082,98.15
2668.63058,98.148
2666.59034,98.156
2664.5501,98.153
2662.50987,98.156
2660.46963,98.169
2658.42939,98.178
2656.38916,98.182
2654.34892,98.179
2652.30868,98.177
2650.26844,98.182
2648.22821,98.178
2646.18797,98.177
2644.14773,98.193
2642.10749,98.192
2640.06726,98.169
2638.02702,98.153
2635.98678,98.149
2633.94654,98.153
2631.90631,98.174
2629.86607,98.194
2627.82583,98.187
2625.78559,98.163
2623.74536,98.152
2621.70512,98.161
2619.66488,98.184
2617.62464,98.202
2615.58441,98.206
2613.54417,98.203
2611.50393,98.202
2609.46369,98.193
2607.42346,98.177
2605.38322,98.175
2603.34298,98.19
2601.30274,98.204
2599.26251,98.206
2597.22227,98.201
2595.18203,98.195
2593.14179,98.192
2591.10156,98.199
2589.06132,98.221
2587.02108,98.236
2584.98084,98.235
2582.94061,98.233
2580.90037,98.229
2578.86013,98.226
2576.81989,98.215
2574.77966,98.191
2572.73942,98.175
2570.69918,98.185
2568.65894,98.208
2566.61871,98.221
2564.57847,98.218
2562.53823,98.212
2560.498,98.204
2558.45776,98.201
2556.41752,98.207
2554.37728,98.21
2552.33705,98.208
2550.29681,98.211
2548.25657,98.221
2546.21633,98.232
2544.1761,98.238
2542.13586,98.243
2540.09562,98.242
2538.05538,98.224
2536.01515,98.205
2533.97491,98.201
2531.93467,98.208
2529.89443,98.212
2527.8542,98.21
2525.81396,98.212
2523.77372,98.219
2521.73348,98.232
2519.69325,98.248
2517.65301,98.247
2515.61277,98.228
2513.57253,98.212
2511.5323,98.204
2509.49206,98.202
2507.45182,98.213
2505.41158,98.232
2503.37135,98.243
2501.33111,98.244
2499.29087,98.238
2497.25063,98.224
2495.2104,98.221
2493.17016,98.226
2491.12992,98.222
2489.08968,98.218
2487.04945,98.222
2485.00921,98.225
2482.96897,98.227
2480.92873,98.229
2478.8885,98.231
2476.84826,98.235
2474.80802,98.234
2472.76778,98.231
2470.72755,98.23
2468.68731,98.233
2466.64707,98.233
2464.60684,98.225
2462.5666,98.215
2460.52636,98.207
2458.48612,98.213
2456.44589,98.233
2454.40565,98.248
2452.36541,98.248
2450.32517,98.244
2448.28494,98.238
2446.2447,98.235
2444.20446,98.24
2442.16422,98.247
2440.12399,98.256
2438.08375,98.264
2436.04351,98.257
2434.00327,98.242
2431.96304,98.231
2429.9228,98.221
2427.88256,98.218
2425.84232,98.228
2423.80209,98.242
2421.76185,98.243
2419.72161,98.232
2417.68137,98.229
2415.64114,98.231
2413.6009,98.231
2411.56066,98.233
2409.52042,98.229
2407.48019,98.217
2405.43995,98.211
2403.39971,98.216
2401.35947,98.227
2399.31924,98.231
2397.279,98.23
2395.23876,98.226
2393.19852,98.216
2391.15829,98.203
2389.11805,98.205
2387.07781,98.214
2385.03757,98.203
2382.99734,98.172
2380.9571,98.139
2378.91686,98.117
2376.87662,98.114
2374.83639,98.138
2372.79615,98.186
2370.75591,98.236
2368.71568,98.279
2366.67544,98.314
2364.6352,98.345
2362.59496,98.368
2360.55473,98.368
2358.51449,98.326
2356.47425,98.253
2354.43401,98.226
2352.39378,98.293
2350.35354,98.376
2348.3133,98.358
2346.27306,98.247
2344.23283,98.178
2342.19259,98.215
2340.15235,98.299
2338.11211,98.377
2336.07188,98.414
2334.03164,98.384
2331.9914,98.31
2329.95116,98.263
2327.91093,98.257
2325.87069,98.255
2323.83045,98.227
2321.79021,98.165
2319.74998,98.095
2317.70974,98.06
2315.6695,98.058
2313.62926,98.058
2311.58903,98.055
2309.54879,98.06
2307.50855,98.081
2305.46831,98.111
2303.42808,98.136
2301.38784,98.146
2299.3476,98.148
