TITLE SAMPLE NAME:,HDPE_BODYWASH
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.920
LASTX:,599.82981
LASTY:,98.866
NPOINTS:,1681
3213.37398,99.244
3211.33374,99.253
3209.29350,99.273
3207.25327,99.290
3205.21303,99.286
3203.17279,99.272
3201.13255,99.266
3199.09232,99.257
3197.05208,99.256
3195.01184,99.262
3192.97160,99.249
3190.93137,99.230
3188.89113,99.222
3186.85089,99.232
3184.81065,99.246
3182.77042,99.242
3180.73018,99.226
3178.68994,99.223
3176.64970,99.237
3174.60947,99.240
3172.56923,99.225
3170.52899,99.213
3168.48875,99.206
3166.44852,99.205
3164.40828,99.210
3162.36804,99.213
3160.32780,99.215
3158.28757,99.217
3156.24733,99.223
3154.20709,99.236
3152.16685,99.240
3150.12662,99.228
3148.08638,99.203
3146.04614,99.177
3144.00590,99.164
3141.96567,99.163
3139.92543,99.177
3137.88519,99.197
3135.84495,99.205
3133.80472,99.202
3131.76448,99.209
3129.72424,99.208
3127.68401,99.182
3125.64377,99.159
3123.60353,99.156
3121.56329,99.166
3119.52306,99.160
3117.48282,99.139
3115.44258,99.138
3113.40234,99.162
3111.36211,99.185
3109.32187,99.192
3107.28163,99.186
3105.24139,99.183
3103.20116,99.179
3101.16092,99.170
3099.12068,99.175
3097.08044,99.185
3095.04021,99.199
3092.99997,99.204
3090.95973,99.178
3088.91949,99.154
3086.87926,99.159
3084.83902,99.168
3082.79878,99.163
3080.75854,99.161
3078.71831,99.166
3076.67807,99.167
3074.63783,99.173
3072.59759,99.183
3070.55736,99.170
3068.51712,99.133
3066.47688,99.106
3064.43664,99.107
3062.39641,99.129
3060.35617,99.149
3058.31593,99.150
3056.27569,99.159
3054.23546,99.179
3052.19522,99.174
3050.15498,99.152
3048.11474,99.143
3046.07451,99.146
3044.03427,99.137
3041.99403,99.124
3039.95379,99.126
3037.91356,99.133
3035.87332,99.133
3033.83308,99.127
3031.79285,99.119
3029.75261,99.134
3027.71237,99.156
3025.67213,99.143
3023.63190,99.120
3021.59166,99.120
3019.55142,99.135
3017.51118,99.142
3015.47095,99.129
3013.43071,99.103
3011.39047,99.087
3009.35023,99.100
3007.31000,99.115
3005.26976,99.115
3003.22952,99.122
3001.18928,99.129
2999.14905,99.125
2997.10881,99.124
2995.06857,99.134
2993.02833,99.134
2990.98810,99.120
2988.94786,99.110
2986.90762,99.122
2984.86738,99.139
2982.82715,99.146
2980.78691,99.143
2978.74667,99.134
2976.70643,99.112
2974.66620,99.085
2972.62596,99.086
2970.58572,99.115
2968.54548,99.134
2966.50525,99.132
2964.46501,99.124
2962.42477,99.113
2960.38453,99.101
2958.34430,99.102
2956.30406,99.114
2954.26382,99.125
2952.22358,99.133
2950.18335,99.130
2948.14311,99.103
2946.10287,99.070
2944.06264,99.035
2942.02240,98.979
2939.98216,98.912
2937.94192,98.841
2935.90169,98.729
2933.86145,98.564
2931.82121,98.383
2929.78097,98.186
2927.74074,97.946
2925.70050,97.649
2923.66026,97.263
2921.62002,96.777
2919.57979,96.263
2917.53955,95.814
2915.49931,95.505
2913.45907,95.389
2911.41884,95.446
2909.37860,95.623
2907.33836,95.870
2905.29812,96.126
2903.25789,96.328
2901.21765,96.481
2899.17741,96.624
2897.13717,96.742
2895.09694,96.834
2893.05670,96.936
2891.01646,97.043
2888.97622,97.136
2886.93599,97.231
2884.89575,97.346
2882.85551,97.477
2880.81527,97.612
2878.77504,97.754
2876.73480,97.902
2874.69456,98.041
2872.65432,98.165
2870.61409,98.277
2868.57385,98.360
2866.53361,98.414
2864.49337,98.456
2862.45314,98.457
2860.41290,98.375
2858.37266,98.206
2856.33242,97.935
2854.29219,97.503
2852.25195,96.892
2850.21171,96.197
2848.17148,95.645
2846.13124,95.426
2844.09100,95.502
2842.05076,95.748
2840.01053,96.079
