TITLE SAMPLE NAME:,HDPE_BOOMER
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.143
LASTX:,599.82981
LASTY:,95.752
NPOINTS:,1681
2833.88981,94.292
2831.84958,94.721
2829.80934,95.077
2827.7691,95.356
2825.72886,95.57
2823.68863,95.733
2821.64839,95.895
2819.60815,96.06
2817.56791,96.183
2815.52768,96.264
2813.48744,96.345
2811.4472,96.434
2809.40696,96.521
2807.36673,96.594
2805.32649,96.645
2803.28625,96.685
2801.24601,96.719
2799.20578,96.756
2797.16554,96.806
2795.1253,96.856
2793.08506,96.89
2791.04483,96.914
2789.00459,96.942
2786.96435,96.972
2784.92411,97.008
2782.88388,97.05
2780.84364,97.084
2778.8034,97.101
2776.76316,97.114
2774.72293,97.139
2772.68269,97.162
2770.64245,97.171
2768.60221,97.191
2766.56198,97.23
2764.52174,97.263
2762.4815,97.283
2760.44126,97.301
2758.40103,97.318
2756.36079,97.331
2754.32055,97.333
2752.28032,97.316
2750.24008,97.311
2748.19984,97.333
2746.1596,97.346
2744.11937,97.345
2742.07913,97.348
2740.03889,97.351
2737.99865,97.352
2735.95842,97.359
2733.91818,97.381
2731.87794,97.406
2729.8377,97.41
2727.79747,97.393
2725.75723,97.384
2723.71699,97.406
2721.67675,97.446
2719.63652,97.46
2717.59628,97.442
2715.55604,97.417
2713.5158,97.411
2711.47557,97.42
2709.43533,97.438
2707.39509,97.465
2705.35485,97.489
2703.31462,97.495
2701.27438,97.486
2699.23414,97.484
2697.1939,97.5
2695.15367,97.518
2693.11343,97.525
2691.07319,97.525
2689.03295,97.52
2686.99272,97.51
2684.95248,97.504
2682.91224,97.499
2680.872,97.492
2678.83177,97.49
2676.79153,97.492
2674.75129,97.497
2672.71105,97.5
2670.67082,97.501
2668.63058,97.51
2666.59034,97.516
2664.5501,97.504
2662.50987,97.497
2660.46963,97.505
2658.42939,97.509
2656.38916,97.504
2654.34892,97.488
2652.30868,97.469
2650.26844,97.474
2648.22821,97.497
2646.18797,97.503
2644.14773,97.498
2642.10749,97.497
2640.06726,97.485
2638.02702,97.475
2635.98678,97.482
2633.94654,97.497
2631.90631,97.515
2629.86607,97.535
2627.82583,97.541
2625.78559,97.526
2623.74536,97.516
2621.70512,97.529
2619.66488,97.55
2617.62464,97.555
2615.58441,97.541
2613.54417,97.53
2611.50393,97.531
2609.46369,97.537
2607.42346,97.545
2605.38322,97.549
2603.34298,97.55
2601.30274,97.549
2599.26251,97.538
2597.22227,97.52
2595.18203,97.519
2593.14179,97.533
2591.10156,97.544
2589.06132,97.563
2587.02108,97.584
2584.98084,97.595
2582.94061,97.603
2580.90037,97.61
2578.86013,97.617
2576.81989,97.616
2574.77966,97.591
2572.73942,97.567
2570.69918,97.567
2568.65894,97.577
2566.61871,97.59
2564.57847,97.606
2562.53823,97.612
2560.498,97.604
2558.45776,97.591
2556.41752,97.59
2554.37728,97.592
2552.33705,97.589
2550.29681,97.59
2548.25657,97.594
2546.21633,97.591
2544.1761,97.583
2542.13586,97.591
2540.09562,97.602
2538.05538,97.596
2536.01515,97.585
2533.97491,97.583
2531.93467,97.592
2529.89443,97.599
2527.8542,97.59
2525.81396,97.583
2523.77372,97.59
2521.73348,97.609
2519.69325,97.636
2517.65301,97.649
2515.61277,97.634
2513.57253,97.614
2511.5323,97.61
2509.49206,97.609
2507.45182,97.606
2505.41158,97.616
2503.37135,97.628
2501.33111,97.631
2499.29087,97.623
2497.25063,97.607
2495.2104,97.606
2493.17016,97.627
2491.12992,97.639
2489.08968,97.632
2487.04945,97.631
2485.00921,97.638
2482.96897,97.635
2480.92873,97.62
2478.8885,97.606
2476.84826,97.61
2474.80802,97.62
2472.76778,97.619
2470.72755,97.613
2468.68731,97.61
2466.64707,97.613
2464.60684,97.62
2462.5666,97.625
2460.52636,97.625
2458.48612,97.624
2456.44589,97.627
2454.40565,97.634
2452.36541,97.643
2450.32517,97.648
2448.28494,97.639
2446.2447,97.629
2444.20446,97.629
2442.16422,97.637
2440.12399,97.65
2438.08375,97.655
2436.04351,97.643
2434.00327,97.631
2431.96304,97.626
2429.9228,97.617
2427.88256,97.612
2425.84232,97.624
2423.80209,97.636
2421.76185,97.633
2419.72161,97.617
2417.68137,97.609
2415.64114,97.618
2413.6009,97.627
2411.56066,97.629
2409.52042,97.625
2407.48019,97.612
2405.43995,97.599
2403.39971,97.605
2401.35947,97.623
2399.31924,97.623
2397.279,97.617
2395.23876,97.618
2393.19852,97.611
2391.15829,97.597
2389.11805,97.598
2387.07781,97.611
2385.03757,97.612
2382.99734,97.585
2380.9571,97.544
2378.91686,97.518
2376.87662,97.517
2374.83639,97.532
2372.79615,97.568
2370.75591,97.62
2368.71568,97.663
2366.67544,97.689
2364.6352,97.714
2362.59496,97.738
2360.55473,97.736
2358.51449,97.706
2356.47425,97.667
2354.43401,97.652
2352.39378,97.692
2350.35354,97.749
2348.3133,97.735
2346.27306,97.643
2344.23283,97.578
2342.19259,97.602
2340.15235,97.673
2338.11211,97.73
2336.07188,97.745
2334.03164,97.72
2331.9914,97.678
2329.95116,97.647
2327.91093,97.628
2325.87069,97.613
2323.83045,97.582
2321.79021,97.521
2319.74998,97.46
2317.70974,97.439
2315.6695,97.459
2313.62926,97.476
2311.58903,97.461
2309.54879,97.443
2307.50855,97.455
2305.46831,97.482
2303.42808,97.502
2301.38784,97.514
2299.3476,97.523
2297.30736,97.529
