TITLE SAMPLE NAME:,PET_LIPTON
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.235
LASTX:,599.82981
LASTY:,99.164
NPOINTS:,1681
2833.88981,99.338
2831.84958,99.319
2829.80934,99.31
2827.7691,99.307
2825.72886,99.31
2823.68863,99.305
2821.64839,99.301
2819.60815,99.317
2817.56791,99.331
2815.52768,99.326
2813.48744,99.31
2811.4472,99.306
2809.40696,99.321
2807.36673,99.337
2805.32649,99.345
2803.28625,99.337
2801.24601,99.319
2799.20578,99.314
2797.16554,99.326
2795.1253,99.336
2793.08506,99.324
2791.04483,99.303
2789.00459,99.303
2786.96435,99.315
2784.92411,99.324
2782.88388,99.331
2780.84364,99.327
2778.8034,99.315
2776.76316,99.313
2774.72293,99.33
2772.68269,99.337
2770.64245,99.322
2768.60221,99.325
2766.56198,99.343
2764.52174,99.336
2762.4815,99.319
2760.44126,99.332
2758.40103,99.358
2756.36079,99.362
2754.32055,99.341
2752.28032,99.317
2750.24008,99.313
2748.19984,99.331
2746.1596,99.352
2744.11937,99.363
2742.07913,99.36
2740.03889,99.344
2737.99865,99.325
2735.95842,99.318
2733.91818,99.317
2731.87794,99.312
2729.8377,99.315
2727.79747,99.317
2725.75723,99.306
2723.71699,99.312
2721.67675,99.336
2719.63652,99.342
2717.59628,99.328
2715.55604,99.308
2713.5158,99.293
2711.47557,99.296
2709.43533,99.307
2707.39509,99.311
2705.35485,99.323
2703.31462,99.337
2701.27438,99.333
2699.23414,99.333
2697.1939,99.345
2695.15367,99.339
2693.11343,99.313
2691.07319,99.304
2689.03295,99.322
2686.99272,99.335
2684.95248,99.319
2682.91224,99.296
2680.872,99.295
2678.83177,99.307
2676.79153,99.313
2674.75129,99.319
2672.71105,99.326
2670.67082,99.329
2668.63058,99.336
2666.59034,99.341
2664.5501,99.33
2662.50987,99.316
2660.46963,99.318
2658.42939,99.335
2656.38916,99.347
2654.34892,99.334
2652.30868,99.305
2650.26844,99.293
2648.22821,99.301
2646.18797,99.312
2644.14773,99.329
2642.10749,99.341
2640.06726,99.327
2638.02702,99.309
2635.98678,99.298
2633.94654,99.285
2631.90631,99.29
2629.86607,99.309
2627.82583,99.314
2625.78559,99.304
2623.74536,99.297
2621.70512,99.307
2619.66488,99.322
2617.62464,99.331
2615.58441,99.333
2613.54417,99.332
2611.50393,99.327
2609.46369,99.311
2607.42346,99.296
2605.38322,99.301
2603.34298,99.312
2601.30274,99.313
2599.26251,99.315
2597.22227,99.318
2595.18203,99.318
2593.14179,99.31
2591.10156,99.303
2589.06132,99.319
2587.02108,99.335
2584.98084,99.337
2582.94061,99.333
2580.90037,99.33
2578.86013,99.326
2576.81989,99.31
2574.77966,99.286
2572.73942,99.278
2570.69918,99.295
2568.65894,99.311
2566.61871,99.32
2564.57847,99.325
2562.53823,99.32
2560.498,99.312
2558.45776,99.314
2556.41752,99.326
2554.37728,99.327
2552.33705,99.313
2550.29681,99.306
2548.25657,99.304
2546.21633,99.299
2544.1761,99.298
2542.13586,99.304
2540.09562,99.3
2538.05538,99.28
2536.01515,99.27
2533.97491,99.281
2531.93467,99.304
2529.89443,99.314
2527.8542,99.303
2525.81396,99.294
2523.77372,99.301
2521.73348,99.313
2519.69325,99.321
2517.65301,99.32
2515.61277,99.306
2513.57253,99.292
2511.5323,99.291
2509.49206,99.298
2507.45182,99.297
2505.41158,99.284
2503.37135,99.28
2501.33111,99.293
2499.29087,99.302
2497.25063,99.299
2495.2104,99.304
2493.17016,99.312
2491.12992,99.307
2489.08968,99.294
2487.04945,99.29
2485.00921,99.297
2482.96897,99.306
2480.92873,99.307
2478.8885,99.307
2476.84826,99.31
2474.80802,99.303
2472.76778,99.294
2470.72755,99.297
2468.68731,99.297
2466.64707,99.286
2464.60684,99.28
2462.5666,99.291
2460.52636,99.303
2458.48612,99.307
2456.44589,99.307
2454.40565,99.301
2452.36541,99.29
2450.32517,99.28
2448.28494,99.266
2446.2447,99.267
2444.20446,99.288
2442.16422,99.303
2440.12399,99.321
2438.08375,99.34
2436.04351,99.34
2434.00327,99.327
2431.96304,99.315
2429.9228,99.306
2427.88256,99.304
2425.84232,99.309
2423.80209,99.312
2421.76185,99.301
2419.72161,99.296
2417.68137,99.313
2415.64114,99.33
2413.6009,99.332
2411.56066,99.324
2409.52042,99.312
2407.48019,99.294
2405.43995,99.277
2403.39971,99.274
2401.35947,99.283
2399.31924,99.276
2397.279,99.267
2395.23876,99.272
2393.19852,99.276
2391.15829,99.273
2389.11805,99.276
2387.07781,99.278
2385.03757,99.262
2382.99734,99.231
2380.9571,99.196
2378.91686,99.167
2376.87662,99.156
2374.83639,99.18
2372.79615,99.241
2370.75591,99.316
2368.71568,99.382
2366.67544,99.431
2364.6352,99.455
2362.59496,99.448
2360.55473,99.429
2358.51449,99.413
2356.47425,99.389
2354.43401,99.353
2352.39378,99.314
2350.35354,99.279
2348.3133,99.255
2346.27306,99.256
2344.23283,99.29
2342.19259,99.343
2340.15235,99.387
2338.11211,99.404
2336.07188,99.402
2334.03164,99.375
2331.9914,99.323
2329.95116,99.279
2327.91093,99.257
2325.87069,99.244
2323.83045,99.225
2321.79021,99.188
2319.74998,99.148
2317.70974,99.137
2315.6695,99.148
2313.62926,99.152
2311.58903,99.141
2309.54879,99.133
2307.50855,99.141
2305.46831,99.162
2303.42808,99.184
2301.38784,99.201
2299.3476,99.213
2297.30736,99.225
