TITLE SAMPLE NAME:,Polyethylene Terephthalate (PET)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Absorbance
FIRSTX:,3996.86747
FIRSTY:,0.00848
LASTX:,599.83616
LASTY:,0.01016
NPOINTS:,1681
2121.86941,0.00629
2119.82915,0.00626
2117.78889,0.00625
2115.74863,0.00626
2113.70837,0.00624
2111.66811,0.00620
2109.62785,0.00613
2107.58760,0.00608
2105.54734,0.00612
2103.50708,0.00615
2101.46682,0.00614
2099.42656,0.00621
2097.38630,0.00628
2095.34604,0.00623
2093.30578,0.00620
2091.26552,0.00631
2089.22526,0.00638
2087.18500,0.00626
2085.14475,0.00613
2083.10449,0.00616
2081.06423,0.00622
2079.02397,0.00614
2076.98371,0.00606
2074.94345,0.00613
2072.90319,0.00619
2070.86293,0.00618
2068.82267,0.00628
2066.78241,0.00658
2064.74216,0.00677
2062.70190,0.00657
2060.66164,0.00629
2058.62138,0.00615
2056.58112,0.00611
2054.54086,0.00618
2052.50060,0.00626
2050.46034,0.00623
2048.42008,0.00620
2046.37982,0.00621
2044.33956,0.00633
2042.29931,0.00653
2040.25905,0.00655
2038.21879,0.00635
2036.17853,0.00618
2034.13827,0.00611
2032.09801,0.00608
2030.05775,0.00605
2028.01749,0.00606
2025.97723,0.00611
2023.93697,0.00619
2021.89672,0.00641
2019.85646,0.00688
2017.81620,0.00735
2015.77594,0.00717
2013.73568,0.00653
2011.69542,0.00615
2009.65516,0.00613
2007.61490,0.00616
2005.57464,0.00606
2003.53438,0.00597
2001.49412,0.00609
1999.45387,0.00626
1997.41361,0.00630
1995.37335,0.00665
1993.33309,0.00755
1991.29283,0.00800
1989.25257,0.00751
1987.21231,0.00684
1985.17205,0.00632
1983.13179,0.00608
1981.09153,0.00607
1979.05128,0.00610
1977.01102,0.00611
1974.97076,0.00610
1972.93050,0.00608
1970.89024,0.00639
1968.84998,0.00726
1966.80972,0.00772
1964.76946,0.00715
1962.72920,0.00649
1960.68894,0.00626
1958.64868,0.00624
1956.60843,0.00634
1954.56817,0.00632
1952.52791,0.00615
1950.48765,0.00614
1948.44739,0.00645
1946.40713,0.00711
1944.36687,0.00813
1942.32661,0.00857
1940.28635,0.00755
1938.24609,0.00647
1936.20584,0.00630
1934.16558,0.00639
1932.12532,0.00630
1930.08506,0.00615
1928.04480,0.00618
1926.00454,0.00682
1923.96428,0.00808
1921.92402,0.00868
1919.88376,0.00859
1917.84350,0.00840
1915.80324,0.00748
1913.76299,0.00669
1911.72273,0.00711
1909.68247,0.00790
1907.64221,0.00774
1905.60195,0.00693
1903.56169,0.00644
1901.52143,0.00628
1899.48117,0.00632
1897.44091,0.00680
1895.40065,0.00732
1893.36040,0.00739
1891.32014,0.00780
1889.27988,0.00823
1887.23962,0.00757
1885.19936,0.00680
1883.15910,0.00648
1881.11884,0.00631
1879.07858,0.00624
1877.03832,0.00616
1874.99806,0.00624
1872.95780,0.00713
1870.91755,0.00960
1868.87729,0.01207
1866.83703,0.01108
1864.79677,0.00836
1862.75651,0.00702
1860.71625,0.00689
1858.67599,0.00685
1856.63573,0.00656
1854.59547,0.00626
1852.55521,0.00628
1850.51496,0.00695
1848.47470,0.00849
1846.43444,0.01065
1844.39418,0.01196
1842.35392,0.01037
1840.31366,0.00812
1838.27340,0.00749
1836.23314,0.00749
1834.19288,0.00754
1832.15262,0.00898
1830.11237,0.01111
1828.07211,0.01116
1826.03185,0.01018
1823.99159,0.00918
1821.95133,0.00770
1819.91107,0.00686
1817.87081,0.00684
1815.83055,0.00691
1813.79029,0.00755
1811.75003,0.00881
1809.70977,0.00906
1807.66952,0.00812
1805.62926,0.00766
1803.58900,0.00875
1801.54874,0.01050
1799.50848,0.01084
1797.46822,0.01040
1795.42796,0.01115
1793.38770,0.01308
1791.34744,0.01306
1789.30718,0.01014
1787.26693,0.00825
1785.22667,0.00838
1783.18641,0.00915
1781.14615,0.00989
1779.10589,0.00986
1777.06563,0.00972
1775.02537,0.01152
1772.98511,0.01466
1770.94485,0.01502
1768.90459,0.01232
1766.86433,0.00966
1764.82408,0.00877
1762.78382,0.00990
1760.74356,0.01073
1758.70330,0.01051
1756.66304,0.01018
1754.62278,0.01002
1752.58252,0.01208
1750.54226,0.01610
1748.50200,0.01735
1746.46174,0.01549
