TITLE SAMPLE NAME:,LDPE_DOVE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.871
LASTX:,599.82981
LASTY:,98.711
NPOINTS:,1681
3594.89838,98.713
3592.85814,98.758
3590.81791,98.773
3588.77767,98.706
3586.73743,98.646
3584.69719,98.692
3582.65696,98.783
3580.61672,98.848
3578.57648,98.88
3576.53624,98.895
3574.49601,98.894
3572.45577,98.866
3570.41553,98.785
3568.37529,98.648
3566.33506,98.558
3564.29482,98.626
3562.25458,98.76
3560.21434,98.839
3558.17411,98.856
3556.13387,98.838
3554.09363,98.806
3552.05339,98.797
3550.01316,98.811
3547.97292,98.792
3545.93268,98.758
3543.89244,98.793
3541.85221,98.88
3539.81197,98.936
3537.77173,98.934
3535.73149,98.901
3533.69126,98.865
3531.65102,98.837
3529.61078,98.816
3527.57054,98.804
3525.53031,98.814
3523.49007,98.85
3521.44983,98.889
3519.40959,98.9
3517.36936,98.889
3515.32912,98.897
3513.28888,98.92
3511.24865,98.92
3509.20841,98.909
3507.16817,98.917
3505.12793,98.914
3503.0877,98.885
3501.04746,98.886
3499.00722,98.93
3496.96698,98.976
3494.92675,99.017
3492.88651,99.036
3490.84627,99.007
3488.80603,98.973
3486.7658,98.98
3484.72556,99.002
3482.68532,98.998
3480.64508,98.988
3478.60485,99.003
3476.56461,99.02
3474.52437,99.026
3472.48413,99.03
3470.4439,99.027
3468.40366,99.018
3466.36342,99.028
3464.32318,99.045
3462.28295,99.047
3460.24271,99.05
3458.20247,99.062
3456.16223,99.073
3454.122,99.094
3452.08176,99.117
3450.04152,99.112
3448.00128,99.08
3445.96105,99.068
3443.92081,99.094
3441.88057,99.13
3439.84033,99.158
3437.8001,99.156
3435.75986,99.122
3433.71962,99.109
3431.67938,99.129
3429.63915,99.129
3427.59891,99.119
3425.55867,99.14
3423.51843,99.163
3421.4782,99.165
3419.43796,99.167
3417.39772,99.173
3415.35749,99.181
3413.31725,99.191
3411.27701,99.202
3409.23677,99.214
3407.19654,99.228
3405.1563,99.234
3403.11606,99.218
3401.07582,99.205
3399.03559,99.212
3396.99535,99.207
3394.95511,99.201
3392.91487,99.224
3390.87464,99.256
3388.8344,99.268
3386.79416,99.247
3384.75392,99.212
3382.71369,99.197
3380.67345,99.211
3378.63321,99.23
3376.59297,99.239
3374.55274,99.258
3372.5125,99.281
3370.47226,99.292
3368.43202,99.295
3366.39179,99.291
3364.35155,99.275
3362.31131,99.264
3360.27107,99.275
3358.23084,99.293
3356.1906,99.297
3354.15036,99.288
3352.11012,99.274
3350.06989,99.271
3348.02965,99.286
3345.98941,99.309
3343.94917,99.325
3341.90894,99.331
3339.8687,99.33
3337.82846,99.317
3335.78822,99.3
3333.74799,99.299
3331.70775,99.329
3329.66751,99.361
3327.62727,99.359
3325.58704,99.335
3323.5468,99.313
3321.50656,99.301
3319.46633,99.304
3317.42609,99.302
3315.38585,99.282
3313.34561,99.276
3311.30538,99.297
3309.26514,99.331
3307.2249,99.372
3305.18466,99.384
3303.14443,99.336
3301.10419,99.292
3299.06395,99.298
3297.02371,99.32
3294.98348,99.338
3292.94324,99.349
3290.903,99.342
3288.86276,99.331
3286.82253,99.325
3284.78229,99.312
3282.74205,99.305
3280.70181,99.318
3278.66158,99.338
3276.62134,99.352
3274.5811,99.347
3272.54086,99.332
3270.50063,99.343
3268.46039,99.363
3266.42015,99.37
3264.37991,99.372
3262.33968,99.353
3260.29944,99.308
3258.2592,99.276
3256.21896,99.271
3254.17873,99.286
3252.13849,99.313
3250.09825,99.326
3248.05801,99.308
3246.01778,99.268
3243.97754,99.245
3241.9373,99.257
3239.89706,99.275
3237.85683,99.273
3235.81659,99.251
3233.77635,99.221
3231.73611,99.208
3229.69588,99.216
3227.65564,99.23
3225.6154,99.245
3223.57517,99.257
3221.53493,99.261
3219.49469,99.256
3217.45445,99.244
3215.41422,99.23
3213.37398,99.229
3211.33374,99.243
3209.2935,99.262
3207.25327,99.267
3205.21303,99.247
3203.17279,99.221
3201.13255,99.207
