TITLE SAMPLE NAME:,HDPE_MED_BOX
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
3594.89838,98.768
3592.85814,98.778
3590.81791,98.799
3588.77767,98.795
3586.73743,98.793
3584.69719,98.816
3582.65696,98.83
3580.61672,98.84
3578.57648,98.861
3576.53624,98.884
3574.49601,98.893
3572.45577,98.877
3570.41553,98.808
3568.37529,98.698
3566.33506,98.649
3564.29482,98.722
3562.25458,98.822
3560.21434,98.882
3558.17411,98.914
3556.13387,98.917
3554.09363,98.884
3552.05339,98.848
3550.01316,98.834
3547.97292,98.826
3545.93268,98.82
3543.89244,98.848
3541.85221,98.908
3539.81197,98.953
3537.77173,98.955
3535.73149,98.922
3533.69126,98.88
3531.65102,98.857
3529.61078,98.861
3527.57054,98.875
3525.53031,98.892
3523.49007,98.92
3521.44983,98.954
3519.40959,98.969
3517.36936,98.961
3515.32912,98.953
3513.28888,98.956
3511.24865,98.961
3509.20841,98.963
3507.16817,98.957
3505.12793,98.936
3503.0877,98.926
3501.04746,98.945
3499.00722,98.968
3496.96698,98.99
3494.92675,99.03
3492.88651,99.047
3490.84627,99.011
3488.80603,98.97
3486.7658,98.98
3484.72556,99.018
3482.68532,99.032
3480.64508,99.03
3478.60485,99.038
3476.56461,99.041
3474.52437,99.038
3472.48413,99.05
3470.4439,99.065
3468.40366,99.066
3466.36342,99.067
3464.32318,99.077
3462.28295,99.089
3460.24271,99.099
3458.20247,99.1
3456.16223,99.1
3454.122,99.102
3452.08176,99.107
3450.04152,99.109
3448.00128,99.112
3445.96105,99.133
3443.92081,99.168
3441.88057,99.188
3439.84033,99.184
