TITLE SAMPLE NAME:,PP_ICE_CREAM
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.787
LASTX:,599.82981
LASTY:,97.212
NPOINTS:,1681
2833.88981,95.415
2831.84958,95.658
2829.80934,95.932
2827.7691,96.159
2825.72886,96.32
2823.68863,96.437
2821.64839,96.545
2819.60815,96.651
2817.56791,96.729
2815.52768,96.777
2813.48744,96.806
2811.4472,96.832
2809.40696,96.87
2807.36673,96.915
2805.32649,96.952
2803.28625,96.977
2801.24601,96.992
2799.20578,97.011
2797.16554,97.043
2795.1253,97.071
2793.08506,97.086
2791.04483,97.098
2789.00459,97.115
2786.96435,97.143
2784.92411,97.183
2782.88388,97.225
2780.84364,97.242
2778.8034,97.226
2776.76316,97.207
2774.72293,97.223
2772.68269,97.25
2770.64245,97.259
2768.60221,97.274
2766.56198,97.288
2764.52174,97.275
2762.4815,97.263
2760.44126,97.278
2758.40103,97.299
2756.36079,97.309
2754.32055,97.316
2752.28032,97.319
2750.24008,97.324
2748.19984,97.342
2746.1596,97.356
2744.11937,97.354
2742.07913,97.35
2740.03889,97.345
2737.99865,97.348
2735.95842,97.363
2733.91818,97.374
2731.87794,97.375
2729.8377,97.368
2727.79747,97.351
2725.75723,97.337
2723.71699,97.342
2721.67675,97.355
2719.63652,97.362
2717.59628,97.354
2715.55604,97.33
2713.5158,97.319
2711.47557,97.333
2709.43533,97.355
2707.39509,97.381
2705.35485,97.398
2703.31462,97.39
2701.27438,97.377
2699.23414,97.387
2697.1939,97.407
2695.15367,97.415
2693.11343,97.414
2691.07319,97.422
2689.03295,97.432
2686.99272,97.419
2684.95248,97.4
2682.91224,97.403
2680.872,97.411
2678.83177,97.408
2676.79153,97.408
2674.75129,97.422
2672.71105,97.425
2670.67082,97.409
2668.63058,97.405
2666.59034,97.413
2664.5501,97.413
2662.50987,97.407
2660.46963,97.41
2658.42939,97.427
2656.38916,97.433
2654.34892,97.416
2652.30868,97.404
2650.26844,97.42
2648.22821,97.446
2646.18797,97.464
2644.14773,97.473
2642.10749,97.47
2640.06726,97.453
2638.02702,97.436
2635.98678,97.43
2633.94654,97.432
2631.90631,97.446
2629.86607,97.466
2627.82583,97.471
2625.78559,97.458
2623.74536,97.447
2621.70512,97.444
2619.66488,97.446
2617.62464,97.449
2615.58441,97.445
2613.54417,97.434
2611.50393,97.426
2609.46369,97.428
2607.42346,97.442
2605.38322,97.461
2603.34298,97.47
2601.30274,97.461
2599.26251,97.444
2597.22227,97.436
2595.18203,97.442
2593.14179,97.448
2591.10156,97.454
2589.06132,97.472
2587.02108,97.488
2584.98084,97.493
2582.94061,97.489
2580.90037,97.472
2578.86013,97.458
2576.81989,97.452
2574.77966,97.441
2572.73942,97.43
2570.69918,97.441
2568.65894,97.471
2566.61871,97.493
2564.57847,97.493
2562.53823,97.479
2560.498,97.459
2558.45776,97.443
2556.41752,97.451
2554.37728,97.467
2552.33705,97.466
2550.29681,97.461
2548.25657,97.466
2546.21633,97.472
2544.1761,97.474
2542.13586,97.476
2540.09562,97.469
2538.05538,97.452
2536.01515,97.446
2533.97491,97.452
2531.93467,97.464
2529.89443,97.476
2527.8542,97.479
2525.81396,97.479
2523.77372,97.49
2521.73348,97.514
2519.69325,97.537
2517.65301,97.535
2515.61277,97.507
2513.57253,97.485
2511.5323,97.478
2509.49206,97.473
2507.45182,97.474
2505.41158,97.48
2503.37135,97.486
2501.33111,97.496
2499.29087,97.504
2497.25063,97.496
2495.2104,97.493
2493.17016,97.501
2491.12992,97.5
2489.08968,97.493
2487.04945,97.499
2485.00921,97.503
2482.96897,97.49
2480.92873,97.489
2478.8885,97.507
2476.84826,97.517
2474.80802,97.513
2472.76778,97.505
2470.72755,97.504
2468.68731,97.504
2466.64707,97.493
2464.60684,97.478
2462.5666,97.481
2460.52636,97.496
2458.48612,97.506
2456.44589,97.508
2454.40565,97.505
2452.36541,97.503
2450.32517,97.503
2448.28494,97.496
2446.2447,97.486
2444.20446,97.483
2442.16422,97.494
2440.12399,97.519
2438.08375,97.539
2436.04351,97.536
2434.00327,97.521
2431.96304,97.507
2429.9228,97.494
2427.88256,97.489
2425.84232,97.498
2423.80209,97.516
2421.76185,97.525
2419.72161,97.508
2417.68137,97.486
2415.64114,97.497
2413.6009,97.52
2411.56066,97.516
2409.52042,97.496
2407.48019,97.485
2405.43995,97.486
2403.39971,97.486
2401.35947,97.475
2399.31924,97.475
2397.279,97.49
2395.23876,97.501
2393.19852,97.49
2391.15829,97.477
2389.11805,97.475
2387.07781,97.476
2385.03757,97.468
2382.99734,97.446
2380.9571,97.416
2378.91686,97.393
2376.87662,97.381
2374.83639,97.381
2372.79615,97.413
2370.75591,97.478
2368.71568,97.556
2366.67544,97.621
2364.6352,97.66
2362.59496,97.661
2360.55473,97.622
2358.51449,97.558
2356.47425,97.499
2354.43401,97.498
2352.39378,97.575
2350.35354,97.654
2348.3133,97.634
2346.27306,97.53
2344.23283,97.478
2342.19259,97.532
2340.15235,97.606
2338.11211,97.641
2336.07188,97.638
2334.03164,97.6
2331.9914,97.547
2329.95116,97.52
2327.91093,97.524
2325.87069,97.525
2323.83045,97.498
2321.79021,97.446
2319.74998,97.398
2317.70974,97.377
2315.6695,97.375
2313.62926,97.364
2311.58903,97.34
2309.54879,97.33
2307.50855,97.345
2305.46831,97.369
2303.42808,97.387
2301.38784,97.405
2299.3476,97.422
2297.30736,97.435
