TITLE SAMPLE NAME:,PP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.86747
FIRSTY:,98.27430926
LASTX:,599.83616
LASTY:,97.67423085
NPOINTS:,1681
3325.58704,0.97437
3323.5468,0.97457
3321.50656,0.97442
3319.46633,0.97418
3317.42609,0.97417
3315.38585,0.97421
3313.34561,0.97408
3311.30538,0.97381
3309.26514,0.97362
3307.2249,0.9737
3305.18466,0.97389
3303.14443,0.97401
3301.10419,0.9742
3299.06395,0.97436
3297.02371,0.97434
3294.98348,0.97428
3292.94324,0.97435
3290.903,0.97452
3288.86276,0.97457
3286.82253,0.9744
3284.78229,0.97411
3282.74205,0.9739
3280.70181,0.97386
3278.66158,0.97389
3276.62134,0.97401
3274.5811,0.97428
3272.54086,0.97439
3270.50063,0.97428
3268.46039,0.97432
3266.42015,0.97447
3264.37991,0.97444
3262.33968,0.9743
3260.29944,0.97433
3258.2592,0.97455
3256.21896,0.97454
3254.17873,0.9742
3252.13849,0.97398
3250.09825,0.97415
3248.05801,0.97443
3246.01778,0.97464
3243.97754,0.97475
3241.9373,0.97471
3239.89706,0.97449
3237.85683,0.97426
3235.81659,0.97412
3233.77635,0.97404
3231.73611,0.97405
3229.69588,0.97418
3227.65564,0.97432
3225.6154,0.97431
3223.57517,0.97415
3221.53493,0.97406
3219.49469,0.97432
3217.45445,0.97464
3215.41422,0.97462
3213.37398,0.97456
3211.33374,0.97469
3209.2935,0.97472
3207.25327,0.97457
3205.21303,0.97452
3203.17279,0.97463
3201.13255,0.97479
3199.09232,0.97488
3197.05208,0.97476
3195.01184,0.97447
3192.9716,0.97422
3190.93137,0.97429
3188.89113,0.97465
3186.85089,0.97477
3184.81065,0.97466
3182.77042,0.97469
3180.73018,0.97478
3178.68994,0.97483
3176.6497,0.97486
3174.60947,0.9748
3172.56923,0.9748
3170.52899,0.97503
3168.48875,0.97521
3166.44852,0.97504
3164.40828,0.97473
3162.36804,0.9746
3160.3278,0.97478
3158.28757,0.97512
3156.24733,0.9753
3154.20709,0.97524
3152.16685,0.97524
3150.12662,0.97532
3148.08638,0.97529
3146.04614,0.97518
3144.0059,0.97511
3141.96567,0.97513
3139.92543,0.97525
3137.88519,0.97529
3135.84495,0.9751
3133.80472,0.97491
3131.76448,0.97491
3129.72424,0.97504
3127.68401,0.97522
3125.64377,0.97547
3123.60353,0.97566
3121.56329,0.97559
3119.52306,0.97546
3117.48282,0.97542
3115.44258,0.97549
3113.40234,0.97566
3111.36211,0.97569
3109.32187,0.97554
3107.28163,0.97552
3105.24139,0.97568
3103.20116,0.97578
3101.16092,0.97588
3099.12068,0.97598
3097.08044,0.97591
3095.04021,0.97578
3092.99997,0.97564
3090.95973,0.97545
3088.91949,0.97534
3086.87926,0.97542
3084.83902,0.9756
3082.79878,0.97578
3080.75854,0.9759
3078.71831,0.97591
3076.67807,0.97591
3074.63783,0.97597
3072.59759,0.976
3070.55736,0.976
3068.51712,0.97597
3066.47688,0.97599
3064.43664,0.97613
3062.39641,0.97626
3060.35617,0.97628
3058.31593,0.97631
3056.27569,0.97644
3054.23546,0.97656
3052.19522,0.97656
3050.15498,0.97653
3048.11474,0.97665
3046.07451,0.97685
3044.03427,0.97691
3041.99403,0.97677
3039.95379,0.97658
3037.91356,0.97652
3035.87332,0.97663
3033.83308,0.97693
3031.79285,0.97718
3029.75261,0.97715
3027.71237,0.977
3025.67213,0.97699
3023.6319,0.97721
3021.59166,0.97744
3019.55142,0.97739
3017.51118,0.97725
3015.47095,0.97729
3013.43071,0.97745
3011.39047,0.97775
3009.35023,0.97798
3007.31,0.97801
3005.26976,0.97807
3003.22952,0.97813
3001.18928,0.97812
2999.14905,0.97819
2997.10881,0.97815
2995.06857,0.97797
2993.02833,0.97788
2990.9881,0.97785
2988.94786,0.97771
2986.90762,0.97753
2984.86738,0.97732
2982.82715,0.97691
2980.78691,0.97636
2978.74667,0.97571
2976.70643,0.97466
2974.6662,0.97308
2972.62596,0.97103
2970.58572,0.96839
2968.54548,0.96493
2966.50525,0.9606
2964.46501,0.95566
2962.42477,0.95087
2960.38453,0.94704
2958.3443,0.94434
2956.30406,0.94221
2954.26382,0.93981
2952.22358,0.93677
2950.18335,0.93403
2948.14311,0.93358
2946.10287,0.93643
2944.06264,0.94128
2942.0224,0.9461
2939.98216,0.94946
2937.94192,0.95066
